id,track_id,tag
3,TRJIJTW128F4289A7E,"['nashville sound countrypolitan', 'weary', 'poignant', 'searching', 'yearning', 'rollicking', 'amiable good natured', 'laid back mellow', 'irreverent', 'drinking', 'country folk', 'humorous', 'melancholy', 'earthy', 'traditional country', 'wistful', 'dramatic', 'progressive country', 'literate', 'autumnal', 'late night', 'reflective', 'plaintive', 'country', 'sad', 'organic', 'bittersweet', 'guys night out']"
5,TRDYVGM128F146186E,"['sentimental', 'day driving', 'pop rock', 'reflection', 'delicate', 'soft rock', 'gentle', 'sunday afternoon', 'melancholy', 'classic country', 'relaxation', 'intimate', 'reflective', 'country', 'country pop']"
6,TRKKWDM128F425BE43,"['energetic', 'alternative indie rock', 'ironic', 'witty', 'exuberant', 'bright', 'pop rock', 'amiable good natured', 'electronic', 'irreverent', 'swaggering', 'sleazy', 'whimsical', 'reckless', 'humorous', 'indie', 'alternative', 'silly', 'fun', 'pop', 'indie rock', 'hanging out', 'alternative pop rock', 'boisterous', 'celebratory', 'playful', 'partying', 'electro', 'new wave post punk revival', 'mischievous', 'rambunctious', 'carefree']"
7,TRNIGXU128EF34F803,['country']
8,TRJLBDX128F935F092,['soul']
11,TRMZWEG128F933B198,"['blues', 'rnb']"
12,TRJGULQ128F423BCBE,"['alternative indie rock', 'pop rock', 'indie', 'alternative', 'latin', 'pop', 'alternative pop rock', '00s', 'rock en espaol', 'rock', 'spanish', 'spanish rock']"
19,TRUOLQQ128F42435CC,"['sophisticated', 'refined', 'calm peaceful', 'soul', 'pop rock', 'vocal', 'intense', 'passionate', 'amiable good natured', 'laid back mellow', 'small gathering', 'earnest', 'reflection', 'female vocalists', 'introspection', 'vocal jazz', 'gentle', 'sunday afternoon', 'jazz', 'earthy', 'sensual', 'romantic evening', 'neo soul', 'relaxation', 'wistful', 'pop', 'warm', 'hanging out', 'rnb', 'adult contemporary', 'soothing', 'soft', 'intimate', 'reflective', 'street smart', 'elegant', 'stylish', 'organic', 'sexy', 'bittersweet']"
24,TRAMKAD128F429F1F0,['spanish']
26,TRYMYFP12903CC401E,"['electronic', 'cool', 'japanese', 'ambient']"
29,TRJSOZT128F428CF57,"['comedy', 'rock']"
30,TRUWMVK12903CBB8CD,"['female vocalists', 'pop']"
32,TRPUBSU128F4232840,"['alternative indie rock', 'alternative metal', 'pop rock', 'alternative', 'heavy metal', 'alternative pop rock', 'dance rock']"
33,TRCUMVS128F423156E,"['international', 'refined', 'calm peaceful', 'pop rock', 'relaxed', 'laid back mellow', 'small gathering', 'south american traditions', 'sunday afternoon', 'light', 'contemporary singer songwriter', 'latin', 'warm', 'smooth', 'intimate', 'reflective', 'restrained', 'spanish', 'effervescent', 'acoustic', 'latin pop']"
35,TREYEUN128F9331E14,['rnb']
37,TRTCWJH128EF34DD35,"['soul', '70s']"
41,TRPXCDV128E0793E60,"['alternative indie rock', 'pop rock', 'madchester', 'confident', 'britpop', 'trippy', 'cynical sarcastic', 'brash', 'indie', 'manic', 'druggy', 'rousing', 'british trad rock', 'alternative pop rock', 'ethereal', 'post grunge', 'celebratory', 'summery', 'dream pop', 'dance rock', 'rambunctious']"
44,TRHGKIR128F1495FE2,['pop']
50,TRLQYLK128F42992B6,"['outrageous', 'psychedelic garage', 'witty', 'comedy', 'pop rock', 'rollicking', 'irreverent', 'trippy', 'whimsical', 'quirky', 'humorous', 'jazz', 'silly', 'comedy rock', 'psychedelic pop', 'fun', 'wry', 'psychedelic', 'british psychedelia', 'literate', 'experimental', 'song parody', 'playful', 'stylish', 'provocative', 'gleeful', 'cheerful', 'the creative side', 'mischievous', 'comedy spoken', 'theatrical']"
53,TRPYAFB128F4265BEC,"['energetic', 'intense', 'passionate', 'earnest', 'post bop', 'freedom', 'jazz', 'jazz instrument', 'earthy', 'relaxation', 'saxophone jazz', 'hanging out', 'reverent', 'complex', 'late night', 'gritty']"
55,TRKYEDC128EF353A40,"['energetic', 'alternative indie rock', 'skatepunk', 'ironic', 'pop rock', 'punk revival', 'cynical sarcastic', 'humorous', 'punk', 'punk pop', 'wry', 'rousing', 'alternative pop rock', 'playful', 'punk new wave', 'rambunctious']"
57,TRXWEVR128E079011D,['electronic']
61,TRYDPFE128E078F913,"['aggressive', 'alternative indie rock', 'detached', 'art rock', 'pop rock', 'experimental rock', 'reflection', 'introspection', 'quirky', 'acerbic', 'contemporary pop rock', 'wintry', 'british', '70s', 'experimental', 'proto punk', 'street smart', 'alternative rock', 'restrained', 'tense anxious', 'the creative side', 'cerebral', 'coolncocky']"
73,TRWNDNH128EF350B95,['electronic']
83,TRAJTSM128F42326C7,"['sophisticated', 'refined', 'post bop', 'whimsical', 'light', 'freedom', 'jazz', 'freewheeling', 'jazz rock', 'ambitious', 'contemporary jazz', 'warm', 'hanging out', 'fusion', 'summer', 'reverent', 'smooth', 'complex', 'intimate', 'late night', 'knotty', 'jazz fusion']"
87,TRFYJLC128F4213AB7,"['latin', 'pop', 'latin pop']"
88,TRIKCRF128F4267FB6,"['alternative indie rock', 'pop rock', 'electronic', 'indie', 'pop', 'swedish pop rock', 'indie rock', 'glam rock', 'swedish', 'synthpop', 'rock']"
89,TRRBQXS128F92ECDAF,"['energetic', 'alternative indie rock', 'night driving', 'bright', 'pop rock', 'confident', 'contemporary pop rock', 'lively', 'dramatic', 'indie rock', 'rousing', 'hanging out', 'alternative pop rock', 'boisterous', 'christian', 'rock', 'brittle', 'theatrical']"
90,TRXEWXQ128F1451DFE,"['pop rock', 'rock']"
91,TRDYBLM12903CB598F,"['electronic', '80s', 'synthpop', 'new wave']"
93,TROYVWQ128F42791F7,"['80s', 'rock']"
97,TRFDFGL12903D06184,"['aggressive', 'confrontational', 'empowering', 'revolutionary', 'alternative metal', 'pop rock', 'intense', 'menacing', 'punk metal', 'visceral', 'cathartic', 'brash', 'screamo', 'rebellious', 'heavy metal', 'metalcore', 'angst ridden', 'metal', 'hardcore', 'provocative', 'tense anxious', 'fiery', 'coolncocky', 'guys night out']"
98,TRXGMLB128F42765BA,"['pop rock', 'hanging out', 'heavy metal', 'rock', 'hard rock', 'guys night out']"
101,TRFTMXZ128F4289A3A,"['sentimental', 'road trip', 'poignant', 'amiable good natured', 'early morning', 'earnest', 'beautiful', 'affirmation', 'contemporary country', 'earthy', 'traditional country', 'warm', 'hanging out', 'neo traditionalist country', 'summer', 'intimate', 'plaintive', 'country', 'organic']"
103,TRKPRKL128F426A6E2,"['rap', 'latin rap', 'menacing', 'hip hop', 'sleazy', 'harsh', 'west coast rap', 'ominous', 'druggy', 'eerie']"
104,TRAWIFJ128F4259E47,"['energetic', 'detached', 'cold', 'exuberant', 'pop rock', 'yearning', 'intense', 'passionate', 'electronic', 'sexual', 'urgent', 'hypnotic', 'alternative', 'sensual', 'contemporary pop rock', 'rousing', 'hanging out', '80s', 'synth pop', 'tgif', 'dance', 'clinical', 'club dance', 'nocturnal', 'tense anxious', 'dance rock', 'punk new wave', 'mischievous', 'new wave', 'sexy']"
105,TRIZBNP128F4271651,"['energetic', 'international', 'exciting', 'day driving', 'exuberant', 'spicy', 'bright', 'electronic', 'happy', 'slick', 'brazilian pop', 'worldbeat', 'lively', 'sparkling', 'house', 'fun', 'rousing', 'brazilian traditions', 'club', 'celebratory', 'club dance', 'partying', 'stylish', 'cheerful', 'effervescent']"
108,TRCUEAD128F92FFC39,"['searching', 'circular', 'stay in bed', 'electronic', 'trippy', 'fractured', 'quirky', 'hypnotic', 'atmospheric', 'instrumental', 'warm', 'experimental electronic', 'ambient', 'late night', 'reflective', 'enigmatic', 'nocturnal', 'dreamy', 'cerebral']"
109,TRLRDSI128F149E80A,"['soul', 'freedom']"
114,TREHIGM128F4294A7E,"['sophisticated', 'confident', 'smooth jazz', 'romantic', 'gentle', 'jazz', 'jazz instrument', 'sensual', 'warm', 'soothing', 'reflective', 'guitar jazz', 'stylish', 'crossover jazz', 'soul jazz']"
118,TRLDGUP128F1463A4D,"['aggressive', 'energetic', 'outrageous', 'exciting', 'uncompromising', 'punk rock', 'rowdy', 'pop rock', 'intense', 'rollicking', 'irreverent', 'l.a. punk', 'urgent', 'reckless', 'quirky', 'humorous', 'punk', 'rock nroll', 'manic', 'silly', 'comedy rock', 'rebellious', 'snide', 'campy', 'raucous', 'playful', 'rock', 'american punk', 'punk new wave', 'rambunctious']"
121,TRFDFZR12903CDDE30,"['pop rock', 'heavy metal', 'progressive metal']"
123,TRWBLCN128EF3630DD,['hardcore']
130,TRZUMSE128F4236597,['hardcore']
131,TRYKHRJ128F4241941,"['aggressive', 'confrontational', 'energetic', 'alternative metal', 'rowdy', 'pop rock', 'brash', 'alternative', 'nu metal', 'heavy metal', '00s', 'metal', 'alternative rock', 'hardcore', 'rock', 'fiery', 'hard rock']"
133,TRSSWMX128E0798B16,"['sophisticated', 'adult contemporary rnb', 'lush', 'calm peaceful', 'contemporary rnb', 'soul', 'bright', 'soft quiet', 'relaxed', 'sweet', 'swaggering', 'delicate', 'romantic', 'gentle', 'hypnotic', 'sensual', 'romantic evening', 'neo soul', 'warm', 'hanging out', 'rnb', 'soothing', 'chill', 'smooth', 'intimate', 'late night', 'reflective', 'seduction', 'dreamy']"
135,TRIQUPS128F42416A2,"['alternative indie rock', 'pop rock', 'punk revival', 'punk', 'alternative pop rock']"
137,TRMSHKR128F4281691,"['energetic', 'sentimental', 'contemporary rnb', 'soul', 'bright', 'passionate', 'amiable good natured', 'confident', 'electronic', 'sweet', 'laid back mellow', 'affection fondness', 'romantic', 'light', 'freewheeling', 'sensual', 'neo soul', 'sex', 'warm', 'rnb', 'soothing', 'smooth', 'intimate', 'club dance', 'stylish', 'celebration']"
138,TRHQGVC128F93028D0,['indie']
141,TRUUECF128F422FBE9,['experimental']
142,TRXFCXC128F42846DF,"['contemporary rnb', 'pop rock', '90s', 'contemporary pop rock', 'pop', 'rnb', 'adult contemporary', 'female vocalist', 'dance']"
143,TRXIIWM128F42831BD,"['pop rock', 'chillout', 'alternative', 'mellow']"
145,TRVURZH128F93187B8,"['day driving', 'bright', 'intense', 'electronic', 'hip hop', 'trippy', 'urgent', 'fractured', 'sprawling', 'hypnotic', 'brash', 'manic', 'silly', 'hanging out', 'spacey', 'idm', 'difficult', 'complex', 'ramshackle', 'clinical', 'tense anxious', 'volatile', 'cerebral', 'rambunctious', 'coolncocky']"
148,TRFQSVR128F932721E,"['alternative indie rock', 'self conscious', 'searching', 'pop rock', 'amiable good natured', 'springlike', 'relaxed', 'electronic', 'laid back mellow', 'early morning', 'earnest', 'reflection', 'gentle', 'cathartic', 'contemporary singer songwriter', 'wistful', 'alternative pop rock', 'intimate', 'reflective', 'spring', 'plaintive', 'bittersweet', 'acoustic']"
149,TRFYYIW12903CC8903,"['trance', 'dance']"
150,TRXPMKN128F1476D36,"['guitar', 'chill', 'ambient']"
151,TRUUVEO128F4290771,"['alternative indie rock', 'pop rock', 'electronic', 'alternative dance', 'strong', 'alternative', 'lively', 'pop', 'alternative pop rock', 'belligerent', 'dance rock']"
154,TRCJFHI128F9309528,"['electronic', 'alternative', 'electronica']"
159,TRDJFXL128F423B19A,"['heavy metal', 'hardcore', 'rock']"
161,TRIGYNX128F145E672,"['confrontational', 'spiritual', 'alternative indie rock', 'magic', 'calm peaceful', 'maverick', 'space rock', 'pop rock', 'passionate', 'irreverent', 'earnest', 'harsh', 'romantic', 'cathartic', 'alternative', 'lively', 'brooding', 'druggy', 'fun', 'rousing', 'joyous', 'alternative pop rock', 'spacey', 'ethereal', 'angst ridden', 'neo psychedelia', 'reflective', 'alternative rock', 'dance rock', 'rock', 'dreamy', 'the creative side', 'cerebral']"
164,TRKZAUI128F93351F2,"['energetic', 'international', 'alternative indie rock', 'pop rock', 'rollicking', 'irreverent', 'humorous', 'freewheeling', 'worldbeat', 'latin', 'fun', 'pop', 'rousing', 'alternative pop rock', 'celebratory', 'playful', 'rock en espaol', 'partying', 'rock', 'spanish', 'alternative latin']"
165,TRBMQRI128F4296D1A,"['indie', 'indie rock']"
167,TROZUAQ128F92E4C47,"['alternative indie rock', 'witty', 'night driving', 'pop rock', 'urgent', 'quirky', 'indie', 'alternative', 'indie rock', 'heartache', 'literate', 'late night', 'tense anxious', 'rock', 'volatile', 'new wave post punk revival', 'coolncocky', 'theatrical']"
168,TROZUAQ128F92E4C47,"['alternative indie rock', 'witty', 'night driving', 'pop rock', 'urgent', 'quirky', 'indie', 'alternative', 'indie rock', 'heartache', 'literate', 'late night', 'tense anxious', 'rock', 'volatile', 'new wave post punk revival', 'coolncocky', 'theatrical']"
169,TROZUAQ128F92E4C47,"['alternative indie rock', 'witty', 'night driving', 'pop rock', 'urgent', 'quirky', 'indie', 'alternative', 'indie rock', 'heartache', 'literate', 'late night', 'tense anxious', 'rock', 'volatile', 'new wave post punk revival', 'coolncocky', 'theatrical']"
170,TRASXOL128F4283827,"['energetic', 'psychedelic garage', 'classic rock', 'pop rock', 'intense', 'rollicking', 'urgent', 'cathartic', 'freewheeling', 'brooding', 'rousing', 'psychedelic', 'autumnal', 'raucous', 'plaintive', 'tense anxious', 'autumn', 'fiery']"
171,TRYXDHE128F4299D73,"['aggressive', 'confrontational', 'energetic', 'crunchy', 'uncompromising', 'alternative metal', 'pop rock', 'intense', 'menacing', 'urgent', 'harsh', 'suffocating', 'hypnotic', 'visceral', 'cathartic', 'lively', 'brooding', 'druggy', 'hostile', 'rebellious', 'dramatic', 'rousing', 'hanging out', 'heavy metal', 'metal', 'gloomy', 'late night', 'indulgent', 'hedonistic', 'scary music', 'stoner metal', 'provocative', 'tense anxious', 'jealousy', 'volatile', 'fiery', 'angry', 'fierce', 'bleak', 'rambunctious']"
174,TREADYX12903C9AF35,"['bitter', 'aggressive', 'rowdy', 'pop rock', 'menacing', 'pop metal', 'drinking', 'reckless', 'brash', 'hostile', 'rebellious', 'rousing', 'hair metal', 'heavy metal', 'angst ridden', 'volatile', 'fiery', 'angry', 'hard rock', 'coolncocky', 'guys night out']"
177,TRWQQWH128F9353487,['chillout']
179,TRCJJAD128F93283C5,"['female vocalists', 'latin', 'pop']"
180,TRWWGGQ128F42B9080,"['garage', 'punk rock', 'indie', 'rock nroll', '00s', 'swedish', 'sweden', 'garage rock', 'rock', 'hard rock']"
181,TROMEFL128F42A929E,"['energetic', 'sentimental', 'contemporary christian', 'refined', 'exuberant', 'poignant', 'bright', 'pop rock', 'passionate', 'rollicking', 'confident', 'in love', 'happy', 'ccm', 'freedom', 'fun', 'pop', 'swedish pop rock', 'rousing', 'joyous', 'religious', 'uplifting', 'euro pop', 'comfort', 'tgif', 'celebratory', 'summery', 'cheerful']"
183,TRPMZDA128F1459CF6,['country']
187,TRSQFQW128E0781CCD,"['energetic', 'sophisticated', 'alternative indie rock', 'soul', 'searching', 'rowdy', 'pop rock', 'intense', 'brass', 'passionate', 'rollicking', 'amiable good natured', 'confident', 'northern soul', 'earnest', 'blue eyed soul', 'whimsical', 'brash', 'rousing', 'british', 'rnb', '80s', 'playful', 'rock', 'volatile', 'cheerful', 'punk new wave', 'new wave', 'effervescent', 'post punk', 'theatrical']"
188,TRDLOZL128F4265D48,['pop']
193,TRTIKBI128F146A471,"['aggressive', 'energetic', 'alternative indie rock', 'pop rock', 'intense', 'hypnotic', 'electronica', 'instrumental', 'rousing', 'alternative pop rock', 'experimental', 'rock']"
194,TRCSKKY12903CA5582,"['progressive rock', 'flamenco', 'haunting', 'ethereal', 'folk', 'rock', 'post rock']"
198,TRRVFMT128F92E2FA6,['80s']
207,TRORIKB128E07950AE,"['sophisticated', 'elaborate', 'refined', 'easy listening', 'sweet dreams', 'introspection', 'piano', 'light', 'classical', 'sensual', 'relaxation', 'soothing', 'comfort', 'smooth', 'ambient', 'elegant', 'plaintive', 'classical crossover', 'theatrical']"
208,TRAYKVH128F42AC993,"['electronic', 'club dance']"
211,TRAWFOX12903CD9B5B,"['piano blues', 'blues']"
213,TREGYAT128F930069F,['dance']
215,TRXHJEM128F148D242,['soul']
223,TRHXXTB128F9337C08,"['alternative indie rock', 'pop rock', 'funk metal', '90s', 'punk', 'funk', 'heavy metal', 'ska punk', 'alternative pop rock', 'rock']"
225,TRTAUZG128F1499D6B,['jazz']
232,TRQFIHK128F425261F,"['detached', 'lush', 'minimal techno', 'soft quiet', 'electronic', 'sweet', 'trippy', 'fractured', 'delicate', 'light', 'experimental techno', 'hypnotic', 'techno', 'electronica', 'lively', 'druggy', 'house', 'hanging out', 'intimate', 'club', 'late night', 'club dance', 'knotty', 'nocturnal', 'tense anxious', 'dreamy', 'sexy']"
233,TREDTQX128F42BC166,"['alternative rock', 'rock']"
